,title,company,location,minimum salary,rating,urgent hiring,link
84,Bioinformatics Programmer,NYU Langone Health,"New York, NY",TBD,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
85,"Quantitative Investment Analytics, Sr. Analyst",Global Atlantic Financial Group,"New York, NY",TBD,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
86,Data Science Instructor,MIM,"New York, NY",87000.0,,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
87,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
88,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
89,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
90,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
91,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
92,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
93,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
95,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
96,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
97,Electronic Trading Solutions - Operations Professional,Bloomberg,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=e24d79bdd3d66b6d
98,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
99,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
100,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
101,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
102,Lead Data Strategist,Indeed,"New York, NY",104000.0,4.3,,https://www.indeed.com/viewjob?jk=e3e355bd6f8eb5e0
103,Python Developer,Pensa Systems,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=68cba931a369960c
104,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
105,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
106,Junior Data Analyst,Urner Barry,"Toms River, NJ",40000.0,4.2,0.0,https://www.indeed.com/viewjob?jk=95fdb4f48585dab3
107,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
108,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
109,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
110,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
112,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
113,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
114,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
115,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
116,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
117,Lead Data Strategist,Indeed,"New York, NY",104000.0,4.3,,https://www.indeed.com/viewjob?jk=e3e355bd6f8eb5e0
118,Python Developer,Pensa Systems,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=68cba931a369960c
119,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
120,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
121,Junior Data Analyst,Urner Barry,"Toms River, NJ",40000.0,4.2,0.0,https://www.indeed.com/viewjob?jk=95fdb4f48585dab3
122,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
123,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
124,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
125,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
127,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
128,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
129,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
130,Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
131,Bioinformatics Programmer,NYU Langone Health,"New York, NY",TBD,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
132,Data Science Instructor,MIM,"New York, NY",87000.0,,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
133,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
134,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
135,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
136,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
137,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
138,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
139,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
141,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
142,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
143,"Quantitative Investment Analytics, Sr. Analyst",Global Atlantic Financial Group,"New York, NY",TBD,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
144,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
145,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
146,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
147,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
148,Lead Data Strategist,Indeed,"New York, NY",104000.0,4.3,,https://www.indeed.com/viewjob?jk=e3e355bd6f8eb5e0
149,Python Developer,Pensa Systems,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=68cba931a369960c
150,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
151,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
152,Junior Data Analyst,Urner Barry,"Toms River, NJ",40000.0,4.2,0.0,https://www.indeed.com/viewjob?jk=95fdb4f48585dab3
153,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
154,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
155,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
156,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
158,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
159,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
160,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
161,Site Reliability Engineer - Python and Automation - No finance required,Saragossa,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=2278f745eaf94e0d
162,Bioinformatics Programmer,NYU Langone Health,"New York, NY",TBD,4.1,,https://www.indeed.com/viewjob?jk=8434bc915c82e9d2
163,Data Science Instructor,MIM,"New York, NY",87000.0,,,https://www.indeed.com/viewjob?jk=7f2fbaa0da9c3228
164,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
165,Data Technician (Full- or Part-Time),Thasos Group,"New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=da727c0cddda240e
166,IT Internship,NPower,"New York, NY",30000.0,3.5,,https://www.indeed.com/viewjob?jk=fae3bf7adc86ea00
167,Tutor in Python online,MakerState,"New York, NY",36000.0,4.0,0.0,https://www.indeed.com/viewjob?jk=469dc5c2056f68b8
168,"Editorial Production Associate, The New Yorker",Conde Nast,"New York, NY",TBD,4.0,,https://www.indeed.com/viewjob?jk=3ecb7c1d250a060f
169,Python Hacker - Machine Learning,Morgan Stanley,"New York, NY",TBD,3.9,,https://www.indeed.com/viewjob?jk=570b70628645883d
170,Junior Laboratory Associate,New York University,"New York, NY",40000.0,4.2,,https://www.indeed.com/viewjob?jk=f5be0253521b86e9
172,Java / Python Tutors,"SAM Consulting Services, Inc.","New York, NY",TBD,,,https://www.indeed.com/viewjob?jk=6dd414e5bf2653aa
173,Python Developer with Front end development,Peopleforce INC,"New York, NY",90000.0,,,https://www.indeed.com/viewjob?jk=c43b5994cf78e06f
174,"Quantitative Investment Analytics, Sr. Analyst",Global Atlantic Financial Group,"New York, NY",TBD,3.2,,https://www.indeed.com/viewjob?jk=ae577fac66aa2913
175,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
176,Python Developer,Systemonex INC,"New York, NY",70000.0,,,https://www.indeed.com/viewjob?jk=261a6748688d29d6
177,Entry Level Python Developer / Jr. Python Developer,KesarWeb,"New York, NY",65000.0,,,https://www.indeed.com/viewjob?jk=52e375af8715e3d4
178,Machine Vision Engineer,"Intelligent Artifacts, Inc.","New York, NY",80000.0,,,https://www.indeed.com/viewjob?jk=438f8386a49026e1
